ISO,Country,Subregion,Region
LBY,Libya,Northern Africa,Africa
MAC,"China, Macao Special Administrative Region",Eastern Asia,Asia
AIA,Anguilla,Latin America and the Caribbean,Americas
BLM,Saint Barthélemy,Latin America and the Caribbean,Americas
MAF,Saint Martin (French Part),Latin America and the Caribbean,Americas
SXM,Sint Maarten (Dutch part),Latin America and the Caribbean,Americas
VGB,British Virgin Islands,Latin America and the Caribbean,Americas
ARE,United Arab Emirates,Western Asia,Asia
QAT,Qatar,Western Asia,Asia
KWT,Kuwait,Western Asia,Asia
MLT,Malta,Southern Europe,Europe
LIE,Liechtenstein,Western Europe,Europe
MYT,Mayotte,Sub-Saharan Africa,Africa
